iter	Passed	Remaining
0	64	9577
1	64	4800
2	65	3203
3	65	2402
4	66	1921
5	66	1605
6	67	1376
7	67	1205
8	68	1073
9	68	965
10	69	878
11	70	805
12	70	741
13	70	687
14	71	640
15	71	600
16	72	564
17	72	531
18	73	503
19	73	478
20	73	454
21	74	434
22	75	414
23	75	396
24	75	379
25	76	363
26	76	348
27	76	335
28	77	322
29	77	311
30	78	301
31	79	292
32	79	283
33	80	274
34	81	266
35	81	258
36	82	250
37	82	243
38	83	236
39	83	230
40	84	224
41	85	218
42	85	212
43	85	207
44	86	201
45	86	196
46	87	192
47	88	187
48	88	182
49	88	177
50	89	173
51	89	168
52	90	164
53	90	160
54	90	156
55	91	153
56	91	149
57	91	145
58	92	142
59	92	138
60	92	135
61	93	132
62	93	129
63	94	126
64	94	124
65	95	121
66	95	118
67	96	116
68	96	113
69	97	111
70	97	108
71	97	106
72	98	103
73	98	101
74	99	99
75	99	96
76	100	94
77	100	92
78	100	90
79	101	88
80	101	86
81	102	84
82	102	82
83	103	81
84	103	79
85	104	77
86	104	75
87	105	73
88	105	72
89	105	70
90	106	68
91	106	67
92	106	65
93	107	63
94	107	62
95	107	60
96	108	59
97	108	57
98	109	56
99	109	54
100	110	53
101	110	51
102	110	50
103	111	49
104	111	47
105	111	46
106	112	45
107	112	43
108	113	42
109	113	41
110	114	40
111	114	38
112	115	37
113	115	36
114	116	35
115	116	34
116	117	33
117	118	32
118	118	30
119	118	29
120	119	28
121	119	27
122	120	26
123	120	25
124	120	24
125	121	23
126	121	22
127	122	20
128	122	19
129	122	18
130	123	17
131	123	16
132	124	15
133	124	14
134	125	13
135	125	12
136	126	12
137	127	11
138	128	10
139	128	9
140	129	8
141	130	7
142	131	6
143	131	5
144	132	4
145	133	3
146	133	2
147	134	1
148	134	0
149	134	0
